;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_scaler__scaler;param_regressor__regressor__weights;param_regressor__regressor__p;param_regressor__regressor__n_neighbors;param_regressor__regressor__metric;param_regressor__regressor__algorithm;param_feature_selection__spearman_thr;param_feature_selection__rfe_k;params;split0_test_R2;split1_test_R2;split2_test_R2;split3_test_R2;split4_test_R2;mean_test_R2;std_test_R2;rank_test_R2;split0_train_R2;split1_train_R2;split2_train_R2;split3_train_R2;split4_train_R2;mean_train_R2;std_train_R2;split0_test_MAE;split1_test_MAE;split2_test_MAE;split3_test_MAE;split4_test_MAE;mean_test_MAE;std_test_MAE;rank_test_MAE;split0_train_MAE;split1_train_MAE;split2_train_MAE;split3_train_MAE;split4_train_MAE;mean_train_MAE;std_train_MAE;split0_test_MAPE;split1_test_MAPE;split2_test_MAPE;split3_test_MAPE;split4_test_MAPE;mean_test_MAPE;std_test_MAPE;rank_test_MAPE;split0_train_MAPE;split1_train_MAPE;split2_train_MAPE;split3_train_MAPE;split4_train_MAPE;mean_train_MAPE;std_train_MAPE;split0_test_MedAE;split1_test_MedAE;split2_test_MedAE;split3_test_MedAE;split4_test_MedAE;mean_test_MedAE;std_test_MedAE;rank_test_MedAE;split0_train_MedAE;split1_train_MedAE;split2_train_MedAE;split3_train_MedAE;split4_train_MedAE;mean_train_MedAE;std_train_MedAE;split0_test_RMSE;split1_test_RMSE;split2_test_RMSE;split3_test_RMSE;split4_test_RMSE;mean_test_RMSE;std_test_RMSE;rank_test_RMSE;split0_train_RMSE;split1_train_RMSE;split2_train_RMSE;split3_train_RMSE;split4_train_RMSE;mean_train_RMSE;std_train_RMSE;overfit_mae;overfit_R2;Model;Use_Log;Execution_Time_s;param_regressor__regressor__validation_fraction;param_regressor__regressor__subsample;param_regressor__regressor__n_iter_no_change;param_regressor__regressor__n_estimators;param_regressor__regressor__min_samples_split;param_regressor__regressor__min_samples_leaf;param_regressor__regressor__min_impurity_decrease;param_regressor__regressor__max_leaf_nodes;param_regressor__regressor__max_features;param_regressor__regressor__max_depth;param_regressor__regressor__loss;param_regressor__regressor__learning_rate;param_regressor__regressor__criterion;param_regressor__n_estimators;param_regressor__min_samples_split;param_regressor__min_samples_leaf;param_regressor__min_impurity_decrease;param_regressor__max_samples;param_regressor__max_features;param_regressor__max_depth;param_regressor__criterion;param_regressor__ccp_alpha;param_regressor__bootstrap;param_regressor__regressor__solver;param_regressor__regressor__max_iter;param_regressor__regressor__learning_rate_init;param_regressor__regressor__hidden_layer_sizes;param_regressor__regressor__batch_size;param_regressor__regressor__alpha;param_regressor__regressor__activation;param_regressor__solver;param_regressor__max_iter;param_regressor__learning_rate_init;param_regressor__hidden_layer_sizes;param_regressor__activation;param_regressor__fit_intercept;param_regressor__epsilon;param_regressor__alpha;param_regressor__max_leaf_nodes;mean_train_MAE_pos;mean_test_MAE_pos
51;121.22678298950196;1.3132164971286244;7.242850208282471;0.08983254344863544;RobustScaler();;;;;;0.2;11;{'scaler__scaler': RobustScaler(), 'regressor__regressor__validation_fraction': 0.2, 'regressor__regressor__subsample': 0.75, 'regressor__regressor__n_iter_no_change': None, 'regressor__regressor__n_estimators': 900, 'regressor__regressor__min_samples_split': 5, 'regressor__regressor__min_samples_leaf': 4, 'regressor__regressor__min_impurity_decrease': 0.0, 'regressor__regressor__max_leaf_nodes': 30, 'regressor__regressor__max_features': 0.4, 'regressor__regressor__max_depth': 8, 'regressor__regressor__loss': 'huber', 'regressor__regressor__learning_rate': 0.04, 'regressor__regressor__criterion': 'squared_error', 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 11};0.9482264899953318;0.9382512037028303;0.9213314127969693;0.9457169280692403;0.9466816589388349;0.9400415387006413;0.009965628727731896;1;0.9500382283913948;0.948723261462213;0.9490724499078886;0.9499392885525829;0.9497070839124173;0.9494960624452993;0.0005121703420110923;-1336.494261546753;-1353.7900137434985;-1389.6087569560002;-1329.6122068110528;-1324.41021352785;-1346.7830905170308;23.598218376141663;1;-1254.2605337274244;-1257.6963733514535;-1280.8087977110379;-1257.0581588439625;-1261.8810783516037;-1262.3409883970965;9.550350598636145;-0.0831449263077825;-0.08328034401908602;-0.08356493445949786;-0.08391547517182245;-0.08252714915353217;-0.0832865658223442;0.00046256463500846313;1;-0.07744977050449116;-0.07732536244548452;-0.07959101050084329;-0.07733140291673922;-0.07777860319421687;-0.07789522991235501;0.0008637543042456291;-864.3245069872628;-864.4901491383644;-861.7024596655756;-850.7480026112444;-847.2007141456002;-857.6931665096093;7.274268886737612;1;-807.3740360305392;-807.9934579913461;-831.8489319220153;-814.6552370244281;-816.398582443624;-815.6540490823905;8.843861799522998;-2171.541110453375;-2417.021821252578;-2817.9825389432795;-2293.5380961947435;-2196.1299850258456;-2379.242710373964;235.7691260862659;1;-2187.041270541412;-2205.420332259199;-2179.412327238962;-2172.512811821225;-2196.040118900236;-2188.085372152207;11.684137360020864;6.689325855382214;-0.9957412272262706;GradientBoosting;True;5274.752969026566;0.2;0.75;;900.0;5.0;4.0;0.0;30;0.4;8.0;huber;0.04;squared_error;;;;;;;;;;;;;;;;;;;;;;;;;;;1262.3409883970965;1346.7830905170308
104;81.66445183753967;2.0932117657251075;8.409782886505127;0.07985908561331102;MinMaxScaler(feature_range=(-1, 1));;;;;;0.2;14;{'scaler__scaler': MinMaxScaler(feature_range=(-1, 1)), 'regressor__n_estimators': 400, 'regressor__min_samples_split': 25, 'regressor__min_samples_leaf': 2, 'regressor__min_impurity_decrease': 0.001, 'regressor__max_samples': 0.8, 'regressor__max_features': 0.5, 'regressor__max_depth': 19, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 5e-05, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 14};0.9467706866294766;0.9315901642328597;0.9144227812149085;0.9370886822586533;0.9439565364180833;0.9347657701507963;0.011470883110663336;1;0.9510615793525105;0.9520124868305141;0.9526042346237025;0.9506394797848375;0.9510359097213708;0.9514707380625872;0.0007246768993550852;-1351.8935292914543;-1362.5381538460535;-1384.78123944061;-1352.726029634629;-1326.7371869670576;-1355.735227835961;18.733130481542904;1;-1192.053804161946;-1182.1627688534793;-1194.0266250815348;-1185.5407472769784;-1193.7761072557882;-1189.5120105259452;4.791811042766958;-0.08674572228260902;-0.08647139883325008;-0.08449250870769892;-0.08651826301966124;-0.0846073353707421;-0.08576704564279228;0.0009987613572377376;1;-0.07525305852887416;-0.07461279045408646;-0.07604045570459551;-0.07453731077497043;-0.07541393836389008;-0.07517151076528333;0.0005540513513612194;-853.2112901915752;-853.9185959316064;-846.0327204876958;-841.7154867652466;-839.1048383497064;-846.796586345166;5.957104954613605;1;-755.2167162052046;-749.8445397202759;-757.0136063735035;-754.1568165502285;-756.1441208252536;-754.4751599348932;2.502919597584659;-2201.859904285985;-2544.0497341387377;-2939.115860463955;-2469.0969378231903;-2251.5531910370587;-2481.1351255497852;262.50791734982596;1;-2164.5271538784746;-2133.51302841934;-2102.4843955322913;-2157.2660143610465;-2166.834321914044;-2144.924982821039;24.281686357454507;13.974068007646249;-1.755699596795381;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;400.0;25.0;2.0;0.001;0.8;0.5;19;squared_error;5,00E-05;True;;;;;;;;;;;;;;;;;1189.5120105259452;1355.735227835961
15;29.391762733459473;0.4299602910604109;9.078359413146973;0.2231844851214173;RobustScaler();distance;3.0;11.0;manhattan;kd_tree;0.25;11;{'scaler__scaler': RobustScaler(), 'regressor__regressor__weights': 'distance', 'regressor__regressor__p': 3, 'regressor__regressor__n_neighbors': 11, 'regressor__regressor__metric': 'manhattan', 'regressor__regressor__algorithm': 'kd_tree', 'feature_selection__spearman_thr': 0.25, 'feature_selection__rfe_k': 11};0.9410256081479937;0.9350130581011615;0.905699386383909;0.9454453557106255;0.9432103184952786;0.9340787453677937;0.01460893779557729;1;0.9988427851704378;0.9989315638776173;0.9988991566512784;0.99893299426973;0.9988497801629936;0.9988912560264115;3.8726979800942665e-05;-1355.8154596519066;-1367.2720642781026;-1409.4749154322185;-1337.636520822801;-1315.5978114964746;-1357.1593543363006;31.462656466652636;1;-51.63895934715847;-50.72833569280259;-48.77064942226851;-50.063416416676866;-52.0882872624095;-50.65792962826318;1.1771636946092339;-0.08516097137706985;-0.08569314469570859;-0.0849407950409656;-0.08580995561000765;-0.08384081659911671;-0.0850891366645737;0.000702833423053938;1;-0.0043961052707650545;-0.004256108692769043;-0.004396570347828794;-0.004271810121292339;-0.004428595568601192;-0.004349838000251285;7.12753255751557e-05;-838.8801204966294;-843.4878642786025;-821.2756057870192;-820.0802248902874;-801.3214234768757;-825.0090477858828;15.054625513895173;1;-7.275957614183426e-12;-7.275957614183426e-12;-7.275957614183426e-12;-7.275957614183426e-12;-7.275957614183426e-12;-7.275957614183426e-12;0.0;-2317.640047332608;-2479.58713071341;-3085.2821156443397;-2299.268100444235;-2266.4933229816784;-2489.654143423254;306.76064689994075;1;-332.8473156594222;-318.35044285606034;-320.4245419101925;-317.1737328394503;-332.10643269009176;-324.1804931910434;6.85748753113251;2579.065971103389;-6.48844509025356;KNN;True;9891.770384073257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.65792962826318;1357.1593543363006
102;67.47912821769714;1.4367549868733536;8.040967798233032;0.07416397409207368;MinMaxScaler();;;;;;0.2;14;{'scaler__scaler': MinMaxScaler(), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 24, 'regressor__min_samples_leaf': 3, 'regressor__min_impurity_decrease': 0.0005, 'regressor__max_samples': 0.8, 'regressor__max_features': 0.5, 'regressor__max_depth': 19, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 0.0001, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 14};0.9457605292339565;0.929044924784967;0.9128437693618827;0.9353911889836655;0.9432568421738723;0.9332594509076688;0.011792636533804317;5;0.9481819286427753;0.9495154865044628;0.9509522088623314;0.9488218227721433;0.9483294181281577;0.9491601729819742;0.0010098749204290576;-1358.197388979845;-1373.9038121374235;-1390.882294114585;-1357.2017425468866;-1330.988294624105;-1362.2347064805692;19.873707336793654;2;-1203.193998555334;-1200.596623076132;-1204.2146487321106;-1195.8044645363552;-1205.174646182119;-1201.7968762164103;3.363227915347034;-0.087023656242857;-0.0871090065927112;-0.08468393487970975;-0.08670300915520711;-0.08470779451399989;-0.086045480276897;0.0011102675118620988;2;-0.07576969164992602;-0.07574743174882252;-0.07658442100849634;-0.0750517522083919;-0.07599370406146642;-0.07582940013542064;0.0004923560737815084;-854.9690909038345;-861.2145270422552;-847.2055076808283;-843.9079514869318;-837.7102026293223;-849.0014559486344;8.2635753992961;2;-758.9758964222383;-757.099229250688;-761.7637050021092;-757.1870147621721;-759.6851102534274;-758.9421911381271;1.7315402375897702;-2222.6545693511616;-2590.944174718425;-2966.107193154593;-2502.186198468416;-2265.564745738957;-2509.4913762863102;267.19336934609726;5;-2227.299840449297;-2188.317154282543;-2138.812618136007;-2196.6266311335776;-2225.9148003903692;-2195.3942088783588;32.25695524839794;13.34982919653292;-1.6752411791942465;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;24.0;3.0;0.0005;0.8;0.5;19;squared_error;0.0001;True;;;;;;;;;;;;;;;;;1201.7968762164103;1362.2347064805692
112;64.80503830909728;1.5227369064813716;8.095535135269165;0.1536158054338211;MinMaxScaler();;;;;;0.25;12;{'scaler__scaler': MinMaxScaler(), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 26, 'regressor__min_samples_leaf': 2, 'regressor__min_impurity_decrease': 0.0005, 'regressor__max_samples': 0.8, 'regressor__max_features': 0.5, 'regressor__max_depth': 18, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 0.0001, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.25, 'feature_selection__rfe_k': 12};0.9458999783018583;0.9310474008687487;0.9132361997793735;0.9364355372327784;0.9434153329152025;0.9340068898195923;0.011627921766033073;2;0.9496839285375654;0.9504221985255228;0.9505031986013084;0.9490959581236393;0.9500853793748536;0.9499581326325778;0.0005190719730957674;-1360.767807120296;-1370.1889104008674;-1406.0615846327198;-1357.044063886011;-1332.9569776982644;-1365.4038687476318;23.74921736867172;3;-1210.406142513148;-1204.1275011940977;-1225.976093081741;-1200.2297063878223;-1211.2603450215468;-1210.3999576396711;8.78787824672835;-0.0872899070160991;-0.08696638630939425;-0.08601475214781384;-0.08683566972074122;-0.08488740801055975;-0.08639882464092163;0.000864740375041021;3;-0.07626715008309631;-0.07604487565680346;-0.0781329062554453;-0.07534353119416357;-0.0764288379044808;-0.07644346021879789;0.0009224142777585425;-859.322968390521;-858.2150418415986;-864.5626460232415;-846.8541681273864;-838.1534221330312;-853.4216493031557;9.57261256740372;4;-767.0170022353195;-763.2163163525458;-784.7981927652177;-762.370036888291;-766.601297506535;-768.8005691495819;8.20338335700358;-2219.7955206019847;-2554.1220354314933;-2959.422049233198;-2481.8809194986957;-2262.3985303465497;-2495.5238110223845;264.2706727718636;2;-2194.7821842221383;-2168.5768093338443;-2148.58024378765;-2190.7356284001207;-2187.7653937813175;-2178.0880519050143;17.282827696594612;12.806007644797393;-1.6791521926108939;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;26.0;2.0;0.0005;0.8;0.5;18;squared_error;0.0001;True;;;;;;;;;;;;;;;;;1210.3999576396711;1365.4038687476318
83;71.58709149360656;0.7011836032383276;9.28986930847168;0.19655071506540484;MinMaxScaler(feature_range=(-1, 1));;;;;;0.2;11;{'scaler__scaler': MinMaxScaler(feature_range=(-1, 1)), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 25, 'regressor__min_samples_leaf': 2, 'regressor__min_impurity_decrease': 0.001, 'regressor__max_samples': 0.75, 'regressor__max_features': 0.5, 'regressor__max_depth': 18, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 5e-05, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 11};0.9461853590106435;0.9309952274362662;0.9135052059609059;0.9359662377645529;0.9430414637336909;0.9339386987812119;0.01151645417027483;3;0.9493178832107714;0.9501697167314509;0.9503765945071976;0.9482148939182233;0.9496173728795451;0.9495392922494377;0.0007625824001766511;-1361.5137598822498;-1370.6856778230792;-1414.4114883752895;-1363.677028434782;-1333.9864648670334;-1368.8548838764868;25.981781896659736;4;-1211.3026153623327;-1207.0299758292472;-1234.0281372328848;-1211.383486090065;-1213.3980080506708;-1215.4284445130402;9.528795018861896;-0.08735625686385146;-0.08707406758403972;-0.08677953967204038;-0.08737971771667052;-0.08488848462436634;-0.08669561329219369;0.0009295627039308138;6;-0.07637443116609206;-0.07622300010493535;-0.07883103915995368;-0.07607372967647558;-0.07656985855569938;-0.0768144117326312;0.0010216215500461615;-855.9898326234525;-860.9937592065571;-875.721267969031;-848.9162375302967;-841.5662931626184;-856.6374780983912;11.578824092799405;7;-768.5458746713757;-767.3742114239403;-791.3127357666276;-768.2968987290114;-768.1906561074757;-772.7440753396861;9.292647457930272;-2213.9330049351433;-2555.0881492348553;-2954.830728606355;-2491.02599366539;-2269.8603442588255;-2496.947644140114;262.5788380997331;3;-2202.7511480203048;-2174.0916852297837;-2151.3263336925697;-2209.6132866102535;-2197.9978623176835;-2187.1560631741186;21.538457002687217;12.623239159497931;-1.642964498211366;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;25.0;2.0;0.001;0.75;0.5;18;squared_error;5,00E-05;True;;;;;;;;;;;;;;;;;1215.4284445130402;1368.8548838764868
110;63.40646796226501;1.508731296751933;7.9573736667633055;0.0558843729553724;RobustScaler();;;;;;0.2;12;{'scaler__scaler': RobustScaler(), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 25, 'regressor__min_samples_leaf': 2, 'regressor__min_impurity_decrease': 0.001, 'regressor__max_samples': 0.75, 'regressor__max_features': 0.5, 'regressor__max_depth': 18, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 0.0001, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 12};0.9455400305267864;0.9309830774706112;0.9128520188675587;0.9349204209462914;0.9431072220088883;0.9334805539640272;0.01159267681427977;4;0.9487544264851302;0.9499624584166754;0.9504798954034245;0.9483010162464544;0.9486510481733743;0.9492297689450118;0.000839416438328294;-1367.3598356616828;-1375.4599953233715;-1402.211284363885;-1367.6636885785617;-1338.6206126716809;-1370.2630833198364;20.318105684479328;5;-1220.44631157031;-1213.9099448427676;-1222.3672446145163;-1210.39031715817;-1221.072135754574;-1217.6371907880675;4.657745279375301;-0.08765220790774289;-0.0873969182078413;-0.08561652726187534;-0.08748227977127918;-0.08531078606352403;-0.08669174384245255;0.001010726891243385;5;-0.07685566067502882;-0.07669281643223291;-0.07777631391999816;-0.07604652869200766;-0.07714536469515301;-0.07690333688288412;0.0005659290637758259;-862.027435501197;-857.9047242469514;-855.0421528906227;-850.9412719954407;-842.5585533222365;-853.6948275912897;6.641830213259465;6;-771.0777281076253;-770.8979834979114;-775.6924617697405;-767.8789654685206;-773.6313796792801;-771.8357037046155;2.6536261469756273;-2227.1678451174826;-2555.3130819873527;-2965.966815943569;-2511.2856640523064;-2268.54969605408;-2505.656620630958;263.87823629936327;4;-2214.96180975295;-2178.608326309243;-2149.085962313289;-2207.775149736665;-2218.97624252936;-2193.8814981283017;26.48421830498261;12.534595172227597;-1.6591572974463806;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;25.0;2.0;0.001;0.75;0.5;18;squared_error;0.0001;True;;;;;;;;;;;;;;;;;1217.6371907880675;1370.2630833198364
82;74.75763926506042;1.5467033758510107;9.668258714675904;0.33936583483623317;StandardScaler();;;;;;0.25;12;{'scaler__scaler': StandardScaler(), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 25, 'regressor__min_samples_leaf': 3, 'regressor__min_impurity_decrease': 0.0005, 'regressor__max_samples': 0.8, 'regressor__max_features': 0.5, 'regressor__max_depth': 20, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 0.0001, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.25, 'feature_selection__rfe_k': 12};0.9446389830687868;0.9283465193745563;0.9119791453904234;0.9340595406590071;0.9429546051125235;0.9323957587210593;0.011810066799661508;8;0.946433127498418;0.9481800435308705;0.9494804722843201;0.9474268091736704;0.9475921220464654;0.947822514906749;0.001001669671158935;-1369.7012055369682;-1376.4126302594782;-1402.9340408877317;-1367.9445688548487;-1338.1956375964621;-1371.0376166270976;20.66988716918688;6;-1221.868687653114;-1214.0467577609465;-1222.1920099808212;-1209.8075856499986;-1219.5006998372965;-1217.4831481764354;4.8207860330750565;-0.08769841732709809;-0.0873886741516824;-0.08544123264961793;-0.08740584916842875;-0.08529838851129644;-0.08664651236162473;0.0010491937538105723;4;-0.07695966735769717;-0.07672432497911051;-0.07765113566118172;-0.07598942549382166;-0.07703789049536851;-0.07687248879743591;0.0005372154273138966;-858.5525968745533;-853.5370079309614;-854.2518973902679;-851.3075464829099;-845.5522587574142;-852.6402614872213;4.2514267294901735;3;-769.2547063671645;-765.8666186926766;-771.1012879050095;-765.4035417040177;-768.4481183027747;-768.0148545943287;2.130018447863386;-2245.5166551088896;-2603.6641840997263;-2980.783357660739;-2527.8408856341343;-2271.590390767733;-2525.8790946542445;266.92999070822935;8;-2264.5723951729265;-2217.0714988555187;-2170.664240082708;-2226.3631536866114;-2241.73952223491;-2224.0821620065353;31.173925179948082;12.6124512426031;-1.6275996764233254;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;25.0;3.0;0.0005;0.8;0.5;20;squared_error;0.0001;True;;;;;;;;;;;;;;;;;1217.4831481764354;1371.0376166270976
89;84.82080993652343;2.2321531097509326;9.250026416778564;0.7818273140305924;MinMaxScaler(feature_range=(-1, 1));;;;;;0.2;10;{'scaler__scaler': MinMaxScaler(feature_range=(-1, 1)), 'regressor__n_estimators': 400, 'regressor__min_samples_split': 26, 'regressor__min_samples_leaf': 2, 'regressor__min_impurity_decrease': 0.0005, 'regressor__max_samples': 0.75, 'regressor__max_features': 0.5, 'regressor__max_depth': 19, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 5e-05, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.2, 'feature_selection__rfe_k': 10};0.9456305510763094;0.930464553852536;0.911252263086986;0.9354358248031684;0.9433762183213681;0.9332318822280736;0.012265836056148519;6;0.9496440622589433;0.9502464283682112;0.9493770188921282;0.9482882251761495;0.9496143785948272;0.9494340226580519;0.0006407416382030106;-1363.3341695152358;-1374.073032884372;-1422.1482880939593;-1364.4244411399106;-1333.7169792612135;-1371.539382178938;28.692029580107203;7;-1208.2046120388845;-1203.8310417771668;-1244.2423933074067;-1208.42731600809;-1209.49331267859;-1214.8397351620276;14.82859297231108;-0.08731486456743007;-0.08712433144589693;-0.08708580200749826;-0.08721069261812175;-0.0849046470923712;-0.08672806754626364;0.0009151086141673654;7;-0.07609728527478109;-0.07592186258516723;-0.07955701448598444;-0.07583971205578442;-0.07628057396300143;-0.07673928967294372;0.0014170102190851099;-857.6637001527379;-866.3461322487328;-881.952806569434;-847.5536608438911;-834.719526530705;-857.6471652691001;16.087211993603376;8;-763.8227431186829;-760.9039413328264;-795.9117067506745;-763.6349675599167;-763.4468036185172;-769.5440324761236;13.22672916068698;-2225.3161336402645;-2564.8941439992414;-2993.0658099958923;-2501.3217155399584;-2263.180345603338;-2509.5556297557387;275.1018410301944;6;-2195.6514936782714;-2172.417579072437;-2172.8856358715766;-2208.048250468923;-2198.0631758394543;-2189.413226986132;14.303950522479678;12.898791707369595;-1.7065051434135947;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;400.0;26.0;2.0;0.0005;0.75;0.5;19;squared_error;5,00E-05;True;;;;;;;;;;;;;;;;;1214.8397351620276;1371.539382178938
90;67.23023548126221;2.8810041046618347;7.987325382232666;0.05251979821850152;RobustScaler();;;;;;0.25;11;{'scaler__scaler': RobustScaler(), 'regressor__n_estimators': 300, 'regressor__min_samples_split': 24, 'regressor__min_samples_leaf': 3, 'regressor__min_impurity_decrease': 0.0005, 'regressor__max_samples': 0.8, 'regressor__max_features': 0.5, 'regressor__max_depth': 18, 'regressor__criterion': 'squared_error', 'regressor__ccp_alpha': 0.0001, 'regressor__bootstrap': True, 'feature_selection__spearman_thr': 0.25, 'feature_selection__rfe_k': 11};0.945332367329919;0.9289162649765506;0.9122784070682887;0.933937271468789;0.943099818740051;0.9327128259167197;0.01183740732548223;7;0.9477793611607528;0.9489779903269632;0.9494514113246467;0.9468409076542458;0.9479628976741877;0.9482025136281592;0.0009221230081660748;-1366.2862173503336;-1376.7177465459436;-1413.7951728275614;-1367.2025920547912;-1337.2080730989758;-1372.241960375521;24.637132514509354;8;-1215.4760053806604;-1211.5701605760028;-1232.5661084583974;-1217.7168226700749;-1216.427508546922;-1218.7513211264115;7.205767149635995;-0.08753674333668174;-0.08716491781256058;-0.0863003603756888;-0.08753902212793876;-0.08510725537229456;-0.08672965980503289;0.0009286974613209058;8;-0.07650776878373412;-0.07638955389813944;-0.07847268407896388;-0.07652863561350762;-0.07663617248316401;-0.07690696297150182;0.0007867667778291795;-862.3621436170324;-854.465724399055;-861.5523817306621;-852.1716424483284;-837.2850433473022;-853.567387108476;9.044088816040519;5;-766.0085267715308;-764.8949510009361;-780.5375723641082;-770.5063810071169;-766.8526846700424;-769.7600231627468;5.708027439382389;-2231.410050385791;-2593.2921350614442;-2975.7118678967677;-2530.1834073452515;-2268.6972906833093;-2519.8589502745126;268.173770768918;7;-2235.9348950899403;-2199.935548420689;-2171.288479061272;-2238.734624241003;-2233.795509346897;-2215.9378112319605;26.412537577923125;12.594090081252038;-1.6335843333899747;RandomForest;False;5327.5425760746;;;;;;;;;;;;;;300.0;24.0;3.0;0.0005;0.8;0.5;18;squared_error;0.0001;True;;;;;;;;;;;;;;;;;1218.7513211264115;1372.241960375521
